epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
52,530.836,1.00988,1.19089,1.03993,1.04658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009902,0.0009902,0.0009902
53,543.09,1.09774,1.19807,1.04751,1.08945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
54,555.512,1.15092,1.09059,1.11079,1.15643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009506,0.0009506,0.0009506
55,567.217,1.02597,1.15209,1.00355,1.07665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
56,579.01,1.0547,1.11633,1.01753,1.09356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000911,0.000911,0.000911
57,590.962,1.05116,1.13517,0.97403,1.05957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
58,603.455,1.02242,1.1545,0.95161,1.08363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008714,0.0008714,0.0008714
59,615.539,1.03244,1.01677,1.03778,1.07651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
60,627.798,1.05173,1.08878,0.92877,1.08693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008318,0.0008318,0.0008318
61,640.28,1.02696,1.14772,0.98977,1.0882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
62,652.473,0.9921,1.12597,0.93034,1.06957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007922,0.0007922,0.0007922
63,664.471,1.0208,1.11318,1.00792,1.06909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
64,676.192,0.97968,1.08933,0.87338,1.04983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007526,0.0007526,0.0007526
65,687.709,0.93079,0.96065,0.89184,1.01533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
66,699.397,1.01385,1.14308,0.93035,1.05492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000713,0.000713,0.000713
67,711.141,0.93857,1.00496,0.85639,1.02147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
68,723.096,0.93966,1.00447,0.89496,1.06806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006734,0.0006734,0.0006734
69,734.517,1.01872,1.15735,0.92075,1.06747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
70,746.085,0.95582,1.0228,0.92419,1.0463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006338,0.0006338,0.0006338
71,757.834,0.98179,0.9967,0.88497,1.03437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
72,769.392,0.894,1.00144,0.81094,1.03334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005942,0.0005942,0.0005942
73,780.736,0.87414,0.95121,0.81928,1.04132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
74,792.185,0.89551,1.03964,0.87641,1.06312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005546,0.0005546,0.0005546
75,803.726,0.9713,1.02072,0.87596,1.07447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
76,815.019,0.82354,0.97325,0.78063,0.98944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000515,0.000515,0.000515
77,826.764,0.94395,1.03506,0.86599,1.0196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
78,838.102,0.83346,0.98326,0.81476,0.98078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004754,0.0004754,0.0004754
79,849.676,0.8584,0.90463,0.81125,0.99683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
80,861.204,0.83054,0.91881,0.7841,0.97807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004358,0.0004358,0.0004358
81,872.8,0.86511,1.00559,0.81441,1.01753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
82,881.959,0.83843,0.85902,0.77533,0.99044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003962,0.0003962,0.0003962
83,887.33,0.82543,0.98227,0.77161,0.99165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
84,892.665,0.8162,1.04026,0.74098,0.97521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003566,0.0003566,0.0003566
85,898.006,0.8069,0.95662,0.76743,0.98497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
86,903.293,0.80577,0.7994,0.82604,0.98251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000317,0.000317,0.000317
87,908.63,0.82656,0.96301,0.77967,1.00738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
88,913.995,0.77572,0.93209,0.73109,0.96979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002774,0.0002774,0.0002774
89,919.348,0.76519,1.01689,0.74168,0.98275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
90,924.681,0.78418,0.91747,0.71573,0.97907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002378,0.0002378,0.0002378
91,936.755,0.68475,0.75695,0.77825,0.9717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
92,942.013,0.70598,0.72538,0.7592,0.9763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001982,0.0001982,0.0001982
93,947.36,0.71953,0.7016,0.78021,1.01008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
94,952.679,0.69553,0.72025,0.76985,0.96687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001586,0.0001586,0.0001586
95,957.983,0.70879,0.70254,0.72937,0.9557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
96,963.273,0.65062,0.69153,0.84321,0.94809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119,0.000119,0.000119
97,968.631,0.64353,0.67597,0.7235,0.9127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
98,973.945,0.65036,0.78415,0.69324,0.9647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94e-05,7.94e-05,7.94e-05
99,979.253,0.59463,0.68751,0.64749,0.90904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96e-05,5.96e-05,5.96e-05
100,986.494,0.67943,0.74898,0.77562,0.95542,0,0.88494,0.66667,0.68441,0.53932,0.88494,0.66667,0.72268,0.3869,1.12096,1.19507,1.39508,1.25526,0,3.98e-05,3.98e-05,3.98e-05
